date,AOR
2020-01-02,45.7149
2020-01-03,45.533
2020-01-06,45.5913
2020-01-07,45.5043
2020-01-08,45.5142
2020-01-09,45.6774
2020-01-10,45.7149
2020-01-13,45.8365
2020-01-14,45.886
2020-01-15,45.8464
2020-01-16,46.0274
2020-01-17,46.1698
2020-01-21,46.0363
2020-01-22,46.0363
2020-01-23,46.0363
2020-01-24,45.8365
2020-01-27,45.3728
2020-01-28,45.6289
2020-01-29,45.7061
2020-01-30,45.6674
2020-01-31,45.2492
2020-02-03,45.3352
2020-02-04,45.8168
2020-02-05,46.0759
2020-02-06,46.1599
2020-02-07,45.9987
2020-02-10,46.0759
2020-02-11,46.2647
2020-02-12,46.4368
2020-02-13,46.323
2020-02-14,46.3507
2020-02-18,46.2074
2020-02-19,46.3132
2020-02-20,46.1886
2020-02-21,46.0759
2020-02-24,45.1622
2020-02-25,44.4601
2020-02-26,44.4226
2020-02-27,43.4337
2020-02-28,43.4041
2020-03-02,44.1278
2020-03-03,43.7768
2020-03-04,44.6995
2020-03-05,43.939
2020-03-06,43.5109
2020-03-09,41.4967
2020-03-10,42.3797
2020-03-11,40.9844
2020-03-12,38.2108
2020-03-13,39.5219
2020-03-16,37.2506
2020-03-17,37.8509
2020-03-18,36.5288
2020-03-19,36.4339
2020-03-20,36.0641
2020-03-23,35.7793
2020-03-24,37.5167
2020-03-25,38.2879
2020-03-26,39.5586
2020-03-27,39.0375
2020-03-30,39.6367
2020-03-31,39.3035
2020-04-01,38.4194
2020-04-02,38.9357
2020-04-03,38.5233
2020-04-06,39.9076
2020-04-07,39.8414
2020-04-08,40.4426
2020-04-09,41.0735
2020-04-13,40.7946
2020-04-14,41.4066
2020-04-15,40.758
2020-04-16,40.9775
2020-04-17,41.4917
2020-04-20,41.1002
2020-04-21,40.4327
2020-04-22,41.0071
2020-04-23,41.0546
2020-04-24,41.2732
2020-04-27,41.636
2020-04-28,41.7014
2020-04-29,42.35
2020-04-30,41.8832
2020-05-01,41.1861
2020-05-04,41.2732
2020-05-05,41.4818
2020-05-06,41.2732
2020-05-07,41.6064
2020-05-08,42.1038
2020-05-11,41.9693
2020-05-12,41.5688
2020-05-13,41.2148
2020-05-14,41.3879
2020-05-15,41.3691
2020-05-18,42.3401
2020-05-19,42.1038
2020-05-20,42.5902
2020-05-21,42.3312
2020-05-22,42.3213
2020-05-26,42.887
2020-05-27,43.2281
2020-05-28,43.2775
2020-05-29,43.3349
2020-06-01,43.6869
2020-06-02,43.9657
2020-06-03,44.4513
2020-06-04,44.2514
2020-06-05,44.9565
2020-06-08,45.3293
2020-06-09,45.1364
2020-06-10,44.9861
2020-06-11,43.4001
2020-06-12,43.8292
2020-06-15,43.9558
2020-06-16,44.4601
2020-06-17,44.4127
2020-06-18,44.384
2020-06-19,44.2614
2020-06-22,44.4898
2020-06-23,44.6114
2020-06-24,43.946
2020-06-25,44.1546
2020-06-26,43.7343
2020-06-29,44.0211
2020-06-30,44.2693
2020-07-01,44.3355
2020-07-02,44.6628
2020-07-06,45.1711
2020-07-07,44.8745
2020-07-08,45.1236
2020-07-09,44.9516
2020-07-10,45.1908
2020-07-13,44.8745
2020-07-14,45.3264
2020-07-15,45.624
2020-07-16,45.4697
2020-07-17,45.6042
2020-07-20,45.8237
2020-07-21,45.969
2020-07-22,46.1045
2020-07-23,45.7575
2020-07-24,45.5844
2020-07-27,45.9592
2020-07-28,45.7762
2020-07-29,46.0858
2020-07-30,45.9315
2020-07-31,45.8237
2020-08-03,46.1797
2020-08-04,46.3725
2020-08-05,46.4892
2020-08-06,46.6998
2020-08-07,46.5347
2020-08-10,46.6701
2020-08-11,46.5257
2020-08-12,46.9766
2020-08-13,46.8253
2020-08-14,46.7374
2020-08-17,46.9005
2020-08-18,46.9766
2020-08-19,46.7472
2020-08-20,46.8253
2020-08-21,46.854
2020-08-24,47.123
2020-08-25,47.1784
2020-08-26,47.4572
2020-08-27,47.2862
2020-08-28,47.5254
2020-08-31,47.4098
2020-09-01,47.6599
2020-09-02,48.0811
2020-09-03,47.1032
2020-09-04,46.9964
2020-09-08,46.3626
2020-09-09,46.9193
2020-09-10,46.4793
2020-09-11,46.6118
2020-09-14,46.947
2020-09-15,47.1418
2020-09-16,47.0735
2020-09-17,46.8353
2020-09-18,46.5634
2020-09-21,46.0462
2020-09-22,46.2479
2020-09-23,45.624
2020-09-24,45.7199
2020-09-25,46.0165
2020-09-28,46.4892
2020-09-29,46.4111
2020-09-30,46.5257
2020-10-01,46.7185
2020-10-02,46.4516
2020-10-05,46.8945
2020-10-06,46.6236
2020-10-07,47.0093
2020-10-08,47.3455
2020-10-09,47.5778
2020-10-12,47.8774
2020-10-13,47.7509
2020-10-14,47.5106
2020-10-15,47.4335
2020-10-16,47.4809
2020-10-19,47.0667
2020-10-20,47.3089
2020-10-21,47.1349
2020-10-22,47.3178
2020-10-23,47.4335
2020-10-26,46.8373
2020-10-27,46.7492
2020-10-28,45.7762
2020-10-29,46.0067
2020-10-30,45.7762
2020-11-02,46.1045
2020-11-03,46.6326
2020-11-04,47.2901
2020-11-05,47.8389
2020-11-06,47.7994
2020-11-09,48.3303
2020-11-10,48.3492
2020-11-11,48.5796
2020-11-12,48.2246
2020-11-13,48.6765
2020-11-16,49.0028
2020-11-17,48.9464
2020-11-18,48.7536
